date,tv_spend,search_spend,social_spend,email_spend,print_spend,sales,competitor_activity,economic_factor,events,week_of_year,month,quarter,total_spend
2022-01-02,9838.71,5257.52,3412.71,2310.23,3499.18,9435.4,2389.78,-269.88,0.0,52,1,1,24318.35
2022-01-09,11012.56,6955.49,3406.75,2153.64,4143.59,10580.95,-766.82,-297.78,0.0,1,1,1,27672.03
2022-01-16,13094.15,5343.7,3652.74,2489.71,3762.38,17203.85,-1484.41,279.91,5000.0,2,1,1,28342.679999999997
2022-01-23,11964.04,5655.16,8010.5,2376.82,4112.93,12487.63,-188.68,-218.11,0.0,3,1,1,32119.45
2022-01-30,12601.92,5593.51,8340.98,2865.12,3693.35,12989.1,83.59,562.02,0.0,4,1,1,33094.88
2022-02-06,12789.97,5471.33,7844.87,2869.17,3361.45,10772.4,1641.29,-409.57,0.0,5,2,1,32336.789999999997
2022-02-13,11423.1,5017.12,8162.08,2505.61,3395.23,15126.73,-2538.7,1036.43,0.0,6,2,1,30503.140000000003
2022-02-20,13743.14,5583.37,2934.93,2757.57,3878.5,12510.81,2294.33,833.91,0.0,7,2,1,28897.51
2022-02-27,14201.62,4846.6,3048.5,2670.84,3922.58,12912.44,-237.01,796.39,0.0,8,2,1,28690.14
2022-03-06,16914.81,5143.73,3297.58,2766.51,3553.95,14462.94,-640.32,1224.89,0.0,9,3,1,31676.580000000005
2022-03-13,14503.2,5048.58,2590.89,2226.79,3997.4,13312.74,-1518.16,1625.32,0.0,10,3,1,28366.86
2022-03-20,15171.29,5361.33,4046.19,2464.87,3287.95,14722.93,-2482.29,1352.17,0.0,11,3,1,30331.63
2022-03-27,14936.82,6506.84,2496.99,2434.13,3747.17,18314.97,1234.76,-30.12,5000.0,12,3,1,30121.950000000004
2022-04-03,13830.74,4445.01,7392.91,1759.22,3384.27,13035.3,109.98,288.41,0.0,13,4,2,30812.15
2022-04-10,16095.8,5750.9,8579.06,1763.73,3532.6,13997.13,-1934.94,645.9,0.0,14,4,2,35722.09
2022-04-17,15584.84,4630.54,8395.83,1489.99,3722.96,16487.99,-1942.62,993.46,0.0,15,4,2,33824.16
2022-04-24,15432.01,5230.05,8312.06,1756.08,3431.2,13848.25,-503.68,1253.14,0.0,16,4,2,34161.4
2022-05-01,13470.68,6039.62,8314.17,1886.07,3554.54,13517.16,2503.53,637.01,0.0,17,5,2,33265.08
2022-05-08,15456.82,5556.41,7993.88,2000.65,3952.37,14034.12,-389.39,1090.48,0.0,18,5,2,34960.130000000005
2022-05-15,12265.88,5014.53,7551.37,1700.74,3458.0,14204.5,-2254.71,608.27,0.0,19,5,2,29990.52
2022-05-22,13813.76,5224.87,8037.9,2026.92,3862.36,15110.84,-368.61,660.82,0.0,20,5,2,32965.81
